Venue Name,City,State,Venue Type,Address,Phone,Website,Email,PokerAtlas URL,Hours,Games Offered,Stakes,Tables,Offers Tournaments,Trust Score,Featured
The D,Las Vegas,NV,casino,301 Fremont St,702-388-2400,https://thed.com,,https://www.pokeratlas.com/poker-room/the-d,24/7,NLH,$1/$2,4,Yes,3.6,No
Plaza,Las Vegas,NV,casino,1 Main St,702-386-2110,https://plazahotelcasino.com,,https://www.pokeratlas.com/poker-room/plaza,24/7,NLH,$1/$2,4,Yes,3.5,No
Orleans,Las Vegas,NV,casino,4500 W Tropicana Ave,702-365-7163,https://orleanscasino.com,,https://www.pokeratlas.com/poker-room/orleans,24/7,"NLH, PLO, Omaha Hi-Lo","$1/$2, $2/$5, $3/$6 Limit",35,Yes,4.2,No
South Point,Las Vegas,NV,casino,9777 S Las Vegas Blvd,702-797-8009,https://southpointcasino.com,,https://www.pokeratlas.com/poker-room/south-point,24/7,"NLH, PLO, Stud","$1/$2, $2/$4 Limit",22,Yes,4.1,No
Rio,Las Vegas,NV,casino,3700 W Flamingo Rd,702-777-7777,https://riolasvegas.com,,https://www.pokeratlas.com/poker-room/rio,24/7,"NLH, PLO","$1/$2, $2/$5",10,Yes,4.0,Yes
Red Rock,Las Vegas,NV,casino,11011 W Charleston Blvd,702-797-7777,https://stationcasinos.com,,https://www.pokeratlas.com/poker-room/red-rock,24/7,"NLH, PLO","$1/$2, $2/$5",20,Yes,4.3,No
Green Valley Ranch,Henderson,NV,casino,2300 Paseo Verde Pkwy,702-617-7777,https://stationcasinos.com,,https://www.pokeratlas.com/poker-room/green-valley-ranch,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.2,No
Sunset Station,Henderson,NV,casino,1301 W Sunset Rd,702-547-7777,https://stationcasinos.com,,https://www.pokeratlas.com/poker-room/sunset-station,24/7,NLH,"$1/$2, $2/$5",10,Yes,4.0,No
Palace Station,Las Vegas,NV,casino,2411 W Sahara Ave,702-367-2411,https://stationcasinos.com,,https://www.pokeratlas.com/poker-room/palace-station,24/7,NLH,"$1/$2, $2/$5",12,Yes,3.9,No
Boulder Station,Las Vegas,NV,casino,4111 Boulder Hwy,702-432-7777,https://stationcasinos.com,,https://www.pokeratlas.com/poker-room/boulder-station,24/7,NLH,$1/$2,8,Yes,3.8,No
Texas Station,N Las Vegas,NV,casino,2101 Texas Star Ln,702-631-1000,https://stationcasinos.com,,https://www.pokeratlas.com/poker-room/texas-station,24/7,NLH,$1/$2,8,Yes,3.7,No
Santa Fe Station,Las Vegas,NV,casino,4949 N Rancho Dr,702-658-4900,https://stationcasinos.com,,https://www.pokeratlas.com/poker-room/santa-fe-station,24/7,NLH,$1/$2,6,Yes,3.7,No
Cannery,N Las Vegas,NV,casino,2121 E Craig Rd,702-507-5700,https://cannerycasino.com,,https://www.pokeratlas.com/poker-room/cannery,24/7,NLH,$1/$2,6,Yes,3.6,No
Eastside Cannery,Las Vegas,NV,casino,5255 Boulder Hwy,702-856-5300,https://eastsidecannery.com,,https://www.pokeratlas.com/poker-room/eastside-cannery,24/7,NLH,$1/$2,4,Yes,3.5,No
M Resort,Henderson,NV,casino,12300 S Las Vegas Blvd,702-797-1000,https://themresort.com,,https://www.pokeratlas.com/poker-room/m-resort,24/7,"NLH, PLO","$1/$2, $2/$5",10,Yes,4.1,No
Aliante,N Las Vegas,NV,casino,7300 Aliante Pkwy,702-692-7777,https://aliantecasinohotel.com,,https://www.pokeratlas.com/poker-room/aliante,24/7,NLH,$1/$2,6,Yes,3.8,No
Arizona Charlies Decatur,Las Vegas,NV,casino,740 S Decatur Blvd,702-258-5200,https://arizonacharliesdecatur.com,,https://www.pokeratlas.com/poker-room/arizona-charlies-decatur,24/7,NLH,$1/$2,4,Yes,3.4,No
Arizona Charlies Boulder,Las Vegas,NV,casino,4575 Boulder Hwy,702-951-5800,https://arizonacharliesboulder.com,,https://www.pokeratlas.com/poker-room/arizona-charlies-boulder,24/7,NLH,$1/$2,4,Yes,3.4,No
Jokers Wild,Henderson,NV,casino,920 N Boulder Hwy,702-564-8100,https://jokerswildcasino.com,,https://www.pokeratlas.com/poker-room/jokers-wild,24/7,NLH,$1/$2,4,Yes,3.3,No
Club Fortune,Henderson,NV,casino,725 S Racetrack Rd,702-566-5555,https://clubfortunecasino.com,,https://www.pokeratlas.com/poker-room/club-fortune,24/7,NLH,$1/$2,4,Yes,3.3,No
Poker Palace,N Las Vegas,NV,card_room,2757 N Las Vegas Blvd,702-649-3799,,,https://www.pokeratlas.com/poker-room/poker-palace,24/7,NLH,$1/$2,6,Yes,3.5,No
Atlantis Casino,Reno,NV,casino,3800 S Virginia St,775-825-4700,https://atlantiscasino.com,,https://www.pokeratlas.com/poker-room/atlantis-casino,24/7,"NLH, PLO","$1/$2, $2/$5",12,Yes,4.2,No
Peppermill,Reno,NV,casino,2707 S Virginia St,775-826-2121,https://peppermillreno.com,,https://www.pokeratlas.com/poker-room/peppermill,24/7,"NLH, Omaha Hi-Lo","$2/$4 Limit, $1/$2",12,Yes,4.1,No
Grand Sierra Resort,Reno,NV,casino,2500 E 2nd St,775-789-2000,https://grandsierraresort.com,,https://www.pokeratlas.com/poker-room/grand-sierra-resort,24/7,NLH,"$1/$2, $2/$5",8,Yes,4.0,No
Silver Legacy,Reno,NV,casino,407 N Virginia St,775-325-7401,https://silverlegacyreno.com,,https://www.pokeratlas.com/poker-room/silver-legacy,24/7,NLH,"$1/$2, $2/$5",8,Yes,3.9,No
Eldorado,Reno,NV,casino,345 N Virginia St,775-786-5700,https://eldoradoreno.com,,https://www.pokeratlas.com/poker-room/eldorado,24/7,NLH,"$1/$2, $2/$5",6,Yes,3.8,No
Circus Circus Reno,Reno,NV,casino,500 N Sierra St,775-329-0711,https://circusreno.com,,https://www.pokeratlas.com/poker-room/circus-circus-reno,24/7,NLH,$1/$2,4,Yes,3.5,No
Nugget Sparks,Sparks,NV,casino,1100 Nugget Ave,775-356-3300,https://nuggetcasinoresort.com,,https://www.pokeratlas.com/poker-room/nugget-sparks,24/7,NLH,"$1/$2, $2/$5",8,Yes,4.0,No
Boomtown Reno,Verdi,NV,casino,2100 Garson Rd,775-345-6000,https://boomtownreno.com,,https://www.pokeratlas.com/poker-room/boomtown-reno,24/7,NLH,$1/$2,4,Yes,3.5,No
Harveys Lake Tahoe,Stateline,NV,casino,18 US-50,775-588-2411,https://caesars.com/harveys-tahoe,,https://www.pokeratlas.com/poker-room/harveys-lake-tahoe,24/7,"NLH, PLO","$1/$2, $2/$5",10,Yes,4.2,No
Montbleu,Stateline,NV,casino,55 US-50,775-588-3515,https://montbleuresort.com,,https://www.pokeratlas.com/poker-room/montbleu,24/7,NLH,$1/$2,6,Yes,3.8,No
Tropicana Laughlin,Laughlin,NV,casino,2121 S Casino Dr,702-298-4200,https://tropicanalaughlin.com,,https://www.pokeratlas.com/poker-room/tropicana-laughlin,24/7,NLH,$1/$2,4,Yes,3.5,No
Riverside Laughlin,Laughlin,NV,casino,1650 S Casino Dr,702-298-2535,https://riversideresort.com,,https://www.pokeratlas.com/poker-room/riverside-laughlin,24/7,NLH,$1/$2,4,Yes,3.5,No
Eureka Mesquite,Mesquite,NV,casino,275 Mesa Blvd,702-346-4600,https://eurekamesquite.com,,https://www.pokeratlas.com/poker-room/eureka-mesquite,24/7,NLH,$1/$2,4,Yes,3.6,No
Commerce Casino,Commerce,CA,card_room,6131 Telegraph Rd,323-721-2100,https://commercecasino.com,,https://www.pokeratlas.com/poker-room/commerce-casino,24/7,"NLH, PLO, Mixed, Limit, Stud, Omaha Hi-Lo","$1/$2, $2/$5, $5/$10, $10/$20, $25/$50",200,Yes,4.3,Yes
Bicycle Casino,Bell Gardens,CA,card_room,888 Bicycle Casino Dr,562-806-4646,https://thebike.com,,https://www.pokeratlas.com/poker-room/bicycle-casino,24/7,"NLH, PLO, Mixed, Limit","$1/$2, $2/$5, $5/$10, $10/$20",180,Yes,4.4,Yes
Hustler Casino,Gardena,CA,card_room,1000 W Redondo Beach Blvd,310-719-9800,https://hustlercasinola.com,,https://www.pokeratlas.com/poker-room/hustler-casino,24/7,"NLH, PLO, Mixed","$1/$3, $2/$5, $5/$10, $10/$20, $25/$50",80,Yes,4.5,Yes
Hollywood Park Casino,Inglewood,CA,card_room,3883 W Century Blvd,310-330-2800,https://playhpc.com,,https://www.pokeratlas.com/poker-room/hollywood-park-casino,24/7,"NLH, PLO, Limit","$1/$2, $2/$5, $5/$10",60,Yes,4.1,No
Gardens Casino,Hawaiian Gardens,CA,card_room,11871 E Carson St,562-860-5887,https://thegardenscasino.com,,https://www.pokeratlas.com/poker-room/gardens-casino,24/7,"NLH, PLO, Limit","$1/$2, $1/$3, $2/$5",40,Yes,4.0,No
Larry Flynt Lucky Lady,Gardena,CA,card_room,1045 W Rosecrans Ave,310-352-3400,https://larryflynt.com,,https://www.pokeratlas.com/poker-room/larry-flynt-lucky-lady,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",45,Yes,4.0,No
Normandie Casino,Gardena,CA,card_room,1045 W Rosecrans Ave,310-352-3400,,,https://www.pokeratlas.com/poker-room/normandie-casino,24/7,"NLH, PLO, Limit","$1/$2, $2/$5",30,Yes,3.8,No
Crystal Park Casino,Compton,CA,card_room,123 E Artesia Blvd,310-631-3838,https://crystalparkcasino.com,,https://www.pokeratlas.com/poker-room/crystal-park-casino,24/7,NLH,"$1/$2, $2/$5",25,Yes,3.6,No
Rainbow Casino,Gardena,CA,card_room,750 W Alondra Blvd,310-327-4700,,,https://www.pokeratlas.com/poker-room/rainbow-casino,24/7,NLH,$1/$2,15,Yes,3.4,No
Tachi Palace,Lemoore,CA,casino,17225 Jersey Ave,559-924-7751,https://tachipalace.com,,https://www.pokeratlas.com/poker-room/tachi-palace,24/7,"NLH, PLO","$1/$2, $2/$5",12,Yes,3.9,No
Pechanga,Temecula,CA,casino,45000 Pechanga Pkwy,951-693-1819,https://pechanga.com,,https://www.pokeratlas.com/poker-room/pechanga,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",22,Yes,4.3,No
San Manuel,Highland,CA,casino,777 San Manuel Blvd,909-864-5050,https://sanmanuel.com,,https://www.pokeratlas.com/poker-room/san-manuel,24/7,"NLH, PLO, Omaha Hi-Lo","$1/$2, $2/$5, $5/$10",30,Yes,4.2,No
Morongo,Cabazon,CA,casino,49500 Seminole Dr,951-849-3080,https://morongocasinoresort.com,,https://www.pokeratlas.com/poker-room/morongo,24/7,"NLH, PLO","$1/$2, $2/$5",25,Yes,4.1,No
Pala Casino,Pala,CA,casino,11154 CA-76,760-510-5100,https://palacasino.com,,https://www.pokeratlas.com/poker-room/pala-casino,24/7,NLH,"$1/$2, $2/$5",12,Yes,4.0,No
Viejas Casino,Alpine,CA,casino,5000 Willows Rd,619-445-5400,https://viejas.com,,https://www.pokeratlas.com/poker-room/viejas-casino,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.0,No
Sycuan Casino,El Cajon,CA,casino,5469 Casino Way,619-445-6002,https://sycuan.com,,https://www.pokeratlas.com/poker-room/sycuan-casino,24/7,"NLH, PLO","$1/$2, $2/$5",18,Yes,4.1,No
Harrahs SoCal,Valley Center,CA,casino,777 Harrahs Rincon Way,760-751-3100,https://caesars.com/harrahs-socal,,https://www.pokeratlas.com/poker-room/harrahs-socal,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.9,No
Barona,Lakeside,CA,casino,1932 Wildcat Canyon Rd,619-443-2300,https://barona.com,,https://www.pokeratlas.com/poker-room/barona,24/7,"NLH, PLO","$1/$2, $2/$5",12,Yes,4.0,No
Valley View Casino,Valley Center,CA,casino,16300 Nyemii Pass Rd,760-291-5500,https://valleyviewcasino.com,,https://www.pokeratlas.com/poker-room/valley-view-casino,24/7,NLH,"$1/$2, $2/$5",8,Yes,3.8,No
Agua Caliente Rancho Mirage,Rancho Mirage,CA,casino,32-250 Bob Hope Dr,760-321-2000,https://aguacalientecasinos.com,,https://www.pokeratlas.com/poker-room/agua-caliente-rancho-mirage,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",15,Yes,4.2,No
Spotlight 29,Coachella,CA,casino,46-200 Harrison Pl,760-775-5566,https://spotlight29.com,,https://www.pokeratlas.com/poker-room/spotlight-29,24/7,NLH,$1/$2,6,Yes,3.6,No
Fantasy Springs,Indio,CA,casino,84-245 Indio Springs Pkwy,760-342-5000,https://fantasyspringsresort.com,,https://www.pokeratlas.com/poker-room/fantasy-springs,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.9,No
Soboba Casino,San Jacinto,CA,casino,22777 Soboba Rd,951-665-1000,https://soboba.com,,https://www.pokeratlas.com/poker-room/soboba-casino,24/7,"NLH, PLO","$1/$2, $2/$5",10,Yes,3.8,No
Paiute Palace,Bishop,CA,casino,2742 N Sierra Hwy,760-873-4150,https://paiutepalace.com,,https://www.pokeratlas.com/poker-room/paiute-palace,24/7,NLH,$1/$2,4,Yes,3.4,No
Bay 101,San Jose,CA,card_room,1801 Bering Dr,408-451-8888,https://bay101.com,,https://www.pokeratlas.com/poker-room/bay-101,24/7,"NLH, PLO, Mixed, Limit","$1/$2, $2/$5, $5/$10, $10/$20",40,Yes,4.5,Yes
Lucky Chances,Colma,CA,card_room,1700 Hillside Blvd,650-758-2237,https://luckychances.com,,https://www.pokeratlas.com/poker-room/lucky-chances,24/7,"NLH, PLO, Omaha Hi-Lo","$1/$2, $2/$5, $5/$10",35,Yes,4.2,No
Artichoke Joes,San Bruno,CA,card_room,659 Huntington Ave,650-589-3145,https://artichokejoes.com,,https://www.pokeratlas.com/poker-room/artichoke-joes,24/7,"NLH, PLO, Limit","$1/$2, $2/$5, $3/$6 Limit",20,Yes,4.0,No
Oaks Card Club,Emeryville,CA,card_room,4097 San Pablo Ave,510-653-4456,https://oakscardclub.com,,https://www.pokeratlas.com/poker-room/oaks-card-club,24/7,"NLH, PLO, Limit","$1/$2, $2/$5",18,Yes,4.0,No
Livermore Casino,Livermore,CA,card_room,2600 S Vasco Rd,925-447-1702,https://livermorecasino.net,,https://www.pokeratlas.com/poker-room/livermore-casino,24/7,"NLH, PLO","$1/$2, $2/$5",12,Yes,3.9,No
M8trix,San Jose,CA,card_room,1887 Matrix Blvd,408-645-0083,https://m8trix.com,,https://www.pokeratlas.com/poker-room/m8trix,24/7,"NLH, PLO, Mixed","$1/$2, $2/$5, $5/$10",20,Yes,4.2,No
Marina Club,East Palo Alto,CA,card_room,1999 University Ave,650-325-1766,,,https://www.pokeratlas.com/poker-room/marina-club,24/7,"NLH, PLO","$1/$2, $2/$5",10,Yes,3.7,No
Capitol Casino,Sacramento,CA,card_room,411 N 16th St,916-446-0700,https://capitol-casino.com,,https://www.pokeratlas.com/poker-room/capitol-casino,24/7,"NLH, PLO, Limit","$1/$2, $2/$5",20,Yes,4.0,No
Stones Gambling Hall,Citrus Heights,CA,card_room,6510 Antelope Rd,916-735-8440,https://stonesgamblinghall.com,,https://www.pokeratlas.com/poker-room/stones-gambling-hall,24/7,"NLH, PLO, Mixed","$1/$2, $2/$5, $5/$10",25,Yes,4.1,No
Club One Casino,Fresno,CA,card_room,1033 Van Ness Ave,559-497-3000,https://clubonecasino.com,,https://www.pokeratlas.com/poker-room/club-one-casino,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,3.9,No
Thunder Valley,Lincoln,CA,casino,1200 Athens Ave,916-408-7777,https://thundervalleyresort.com,,https://www.pokeratlas.com/poker-room/thunder-valley,24/7,"NLH, PLO, Stud","$1/$2, $2/$5, $5/$10",25,Yes,4.4,Yes
Graton,Rohnert Park,CA,casino,288 Golf Course Dr W,707-588-7100,https://gratonresortcasino.com,,https://www.pokeratlas.com/poker-room/graton,24/7,"NLH, PLO","$1/$3, $3/$5, $5/$10",20,Yes,4.3,No
Cache Creek,Brooks,CA,casino,14455 CA-16,530-796-3118,https://cachecreek.com,,https://www.pokeratlas.com/poker-room/cache-creek,24/7,"NLH, PLO","$1/$3, $2/$5, $5/$10",15,Yes,4.1,No
Jackson Rancheria,Jackson,CA,casino,12222 New York Ranch Rd,209-223-1677,https://jacksoncasino.com,,https://www.pokeratlas.com/poker-room/jackson-rancheria,24/7,NLH,"$1/$2, $2/$5",8,Yes,3.8,No
Red Hawk,Placerville,CA,casino,1 Red Hawk Pkwy,530-677-7000,https://redhawkcasino.com,,https://www.pokeratlas.com/poker-room/red-hawk,24/7,"NLH, PLO","$1/$2, $2/$5",12,Yes,4.0,No
Twin Pine Casino,Middletown,CA,casino,22223 CA-29,707-987-0197,https://twinpine.com,,https://www.pokeratlas.com/poker-room/twin-pine-casino,24/7,NLH,$1/$2,6,Yes,3.5,No
Black Oak Casino,Tuolumne,CA,casino,19400 Tuolumne Rd N,209-928-9300,https://blackoakcasino.com,,https://www.pokeratlas.com/poker-room/black-oak-casino,24/7,NLH,$1/$2,6,Yes,3.6,No
Chukchansi Gold,Coarsegold,CA,casino,711 Lucky Ln,559-692-5200,https://chukchansigold.com,,https://www.pokeratlas.com/poker-room/chukchansi-gold,24/7,NLH,"$1/$2, $2/$5",8,Yes,3.7,No
Table Mountain,Friant,CA,casino,8184 Table Mountain Rd,559-822-7777,https://tmcasino.com,,https://www.pokeratlas.com/poker-room/table-mountain,24/7,NLH,$1/$2,6,Yes,3.6,No
Elk Valley Casino,Crescent City,CA,casino,2500 Howland Hill Rd,707-464-1020,https://elkvalleycasino.com,,https://www.pokeratlas.com/poker-room/elk-valley-casino,24/7,NLH,$1/$2,4,Yes,3.4,No
Win-River Casino,Redding,CA,casino,2100 Redding Rancheria Rd,530-243-3377,https://winrivercasino.com,,https://www.pokeratlas.com/poker-room/win-river-casino,24/7,NLH,$1/$2,6,Yes,3.6,No
Rolling Hills Casino,Corning,CA,casino,2655 Everett Freeman Way,530-528-3500,https://rollinghillscasino.com,,https://www.pokeratlas.com/poker-room/rolling-hills-casino,24/7,NLH,$1/$2,4,Yes,3.5,No
Seminole Hard Rock Hollywood,Hollywood,FL,casino,1 Seminole Way,954-327-7465,https://seminolehardrockhollywood.com,,https://www.pokeratlas.com/poker-room/seminole-hard-rock-hollywood,24/7,"NLH, PLO, Mixed","$1/$2, $2/$5, $5/$10, $10/$25",45,Yes,4.7,Yes
Seminole Hard Rock Tampa,Tampa,FL,casino,5223 Orient Rd,813-627-7651,https://seminolehardrocktampa.com,,https://www.pokeratlas.com/poker-room/seminole-hard-rock-tampa,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",46,Yes,4.5,Yes
Gulfstream Park,Hallandale Beach,FL,card_room,901 S Federal Hwy,954-454-7087,https://gulfstreampark.com,,https://www.pokeratlas.com/poker-room/gulfstream-park,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",20,Yes,4.2,No
Palm Beach Kennel Club,West Palm Beach,FL,card_room,1111 N Congress Ave,561-683-2222,https://pbkennelclub.com,,https://www.pokeratlas.com/poker-room/palm-beach-kennel-club,24/7,"NLH, PLO","$1/$2, $2/$5",35,Yes,4.0,No
Derby Lane,St. Petersburg,FL,card_room,10490 Gandy Blvd,727-812-3339,https://derbylane.com,,https://www.pokeratlas.com/poker-room/derby-lane,24/7,"NLH, PLO","$1/$2, $2/$5",50,Yes,4.1,Yes
TGT Poker,Tampa,FL,card_room,8300 N Nebraska Ave,813-932-4313,https://tgtpoker.com,,https://www.pokeratlas.com/poker-room/tgt-poker,24/7,"NLH, PLO, Mixed","$1/$2, $2/$5, $5/$10",40,Yes,4.2,No
Hialeah Park,Hialeah,FL,card_room,100 E 21st St,305-885-8000,https://hialeahpark.com,,https://www.pokeratlas.com/poker-room/hialeah-park,24/7,"NLH, PLO","$1/$2, $2/$5",20,Yes,4.0,No
Magic City Casino,Miami,FL,card_room,450 NW 37th Ave,305-649-3000,https://magiccitycasino.com,,https://www.pokeratlas.com/poker-room/magic-city-casino,24/7,NLH,"$1/$2, $2/$5",15,Yes,3.8,No
Daytona Beach Racing,Daytona Beach,FL,card_room,960 S Williamson Blvd,386-252-6484,https://daytonabeachpoker.com,,https://www.pokeratlas.com/poker-room/daytona-beach-racing,24/7,"NLH, PLO","$1/$2, $2/$5",25,Yes,4.0,No
Orange City Racing,Orange City,FL,card_room,860 S Volusia Ave,386-252-6484,https://orangecitypoker.com,,https://www.pokeratlas.com/poker-room/orange-city-racing,24/7,NLH,"$1/$2, $2/$5",18,Yes,3.8,No
Jacksonville Poker Room,Jacksonville,FL,card_room,201 Monument Rd,904-646-0002,https://jaxpokerroom.com,,https://www.pokeratlas.com/poker-room/jacksonville-poker-room,24/7,"NLH, PLO","$1/$2, $2/$5",30,Yes,4.0,No
bestbet Jacksonville,Jacksonville,FL,card_room,201 Monument Rd,904-646-0002,https://bestbetjax.com,,https://www.pokeratlas.com/poker-room/bestbet-jacksonville,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",35,Yes,4.2,No
bestbet Orange Park,Orange Park,FL,card_room,455 Park Ave,904-646-0002,https://bestbetjax.com,,https://www.pokeratlas.com/poker-room/bestbet-orange-park,24/7,"NLH, PLO","$1/$2, $2/$5",25,Yes,4.0,No
Ocala Poker,Ocala,FL,card_room,3900 NW Gainesville Rd,352-237-2221,https://ocalapoker.com,,https://www.pokeratlas.com/poker-room/ocala-poker,24/7,NLH,"$1/$2, $2/$5",12,Yes,3.7,No
Melbourne Greyhound Park,Melbourne,FL,card_room,1100 N Wickham Rd,321-259-9800,https://melbournegreyhoundpark.com,,https://www.pokeratlas.com/poker-room/melbourne-greyhound-park,24/7,NLH,"$1/$2, $2/$5",15,Yes,3.7,No
Seminole Coconut Creek,Coconut Creek,FL,casino,5550 NW 40th St,954-977-6700,https://seminolecoconutcreekcasino.com,,https://www.pokeratlas.com/poker-room/seminole-coconut-creek,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",30,Yes,4.4,No
Seminole Brighton,Okeechobee,FL,casino,17735 Reservation Rd,863-467-9998,https://seminolebrighton.com,,https://www.pokeratlas.com/poker-room/seminole-brighton,24/7,NLH,"$1/$2, $2/$5",8,Yes,3.6,No
Seminole Immokalee,Immokalee,FL,casino,506 S 1st St,239-658-1313,https://moreinparadise.com,,https://www.pokeratlas.com/poker-room/seminole-immokalee,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.8,No
Seminole Classic,Hollywood,FL,casino,4150 N SR 7,954-961-3220,https://seminoleclassiccasino.com,,https://www.pokeratlas.com/poker-room/seminole-classic,24/7,NLH,"$1/$2, $2/$5",12,Yes,3.9,No
Calder Casino,Miami Gardens,FL,casino,21001 NW 27th Ave,305-625-1311,https://caldercasino.com,,https://www.pokeratlas.com/poker-room/calder-casino,24/7,"NLH, PLO","$1/$2, $2/$5",18,Yes,4.0,No
Pensacola Greyhound,Pensacola,FL,card_room,951 Dog Track Rd,850-456-9800,https://pensacolagreyhoundtrack.com,,https://www.pokeratlas.com/poker-room/pensacola-greyhound,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.5,No
