Venue Name,Phone Number,Website Address,Physical Address,City,State,Hours of Operation,PokerAtlas URL,Successfully Scraped,Notes/Source of Truth
"Bluewater Casino","(928) 669-7000","https://bluewatercasino.com","11300 Resort Dr, Parker, AZ 85344, Parker, AZ","Parker","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/bluewater-casino/tournaments",No,"URL needs verification"
"Bucky's Casino","(928) 776-5695","https://buckyscasino.com","1500 E Hwy 69, Prescott, AZ 86301, Prescott, AZ","Prescott","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/buckys-casino/tournaments",No,"URL needs verification"
"Casino Arizona","(480) 850-8000","https://casinoarizona.com","524 N 92nd St, Scottsdale, AZ 85256, Scottsdale, AZ","Scottsdale","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/casino-arizona/tournaments",No,"URL verified - pending scrape"
"Casino Del Sol","(520) 628-1500","https://casinodelsolresort.com","91 N Stone Ave, Tucson, AZ 85701, Tucson, AZ","Tucson","AZ","10am-2am | 10am-4am","https://www.pokeratlas.com/poker-room/casino-del-sol/tournaments",No,"URL verified - pending scrape"
"Cliff Castle Casino","(928) 567-7999","https://cliffcastlecasino.com","555 Middle Verde Rd, Camp Verde, AZ 86322, Camp Verde, AZ","Camp Verde","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/cliff-castle-casino-hotel/tournaments",No,"URL verified - pending scrape"
"Desert Diamond Casino Sahuarita","(520) 838-1111","https://desertdiamond.com","5655 W Valencia Rd, Tucson, AZ 85757, Sahuarita, AZ","Sahuarita","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/desert-diamond-casino-sahuarita/tournaments",No,"URL needs verification"
"Desert Diamond Casino Tucson","(520) 838-1111","https://desertdiamond.com","5655 W Valencia Rd, Tucson, AZ 85757, Tucson, AZ","Tucson","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/desert-diamond-casino-west-valley/tournaments",No,"Scrape failed - needs retry"
"Fort McDowell Casino","(480) 949-0300","https://ftwmcdowellcasino.com","7474 E Indian School Rd, Scottsdale, AZ 85251, Fountain Hills, AZ","Fountain Hills","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/fort-mcdowell-casino/tournaments",No,"URL verified - pending scrape"
"Gila River Wild Horse Pass","(800) 946-4452","https://playaz.com/poker","1077 S Kyrene Rd, Chandler, AZ 85226, Chandler, AZ","Chandler","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/gila-river-hotels-casinos-wild-horse-pass/tournaments",No,"URL verified - pending scrape"
"Mazatzal Casino","(928) 474-6044","https://mazatzalcasino.com","Hwy 87 Mile Marker 251, Payson, AZ 85541, Payson, AZ","Payson","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/mazatzal-hotel-casino/tournaments",No,"URL verified - pending scrape"
"Paradise Casino","(760) 572-7777","https://paradise-casinos.com","450 Quechan Dr, Yuma, AZ 85364, Yuma, AZ","Yuma","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/paradise-casino/tournaments",No,"URL needs verification"
"Talking Stick Resort","(480) 850-7777","https://talkingstickresort.com","9180 E Indian Bend Rd, Scottsdale, AZ 85250, Scottsdale, AZ","Scottsdale","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/talking-stick-resort/tournaments",No,"URL verified - pending scrape"
"Twin Arrows Casino","(928) 856-7200","https://twinarrows.com","22181 Resort Blvd, Flagstaff, AZ 86004, Flagstaff, AZ","Flagstaff","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/twin-arrows-casino/tournaments",No,"URL needs verification"
"We-Ko-Pa Casino Resort","(480) 789-4294","https://wekopacasino.com","10438 Wekopa Way, Fort McDowell, AZ 85264, Fort McDowell, AZ","Fort McDowell","AZ","Thu-Sun 24 Hours | Thu-Sun 24 Hours","https://www.pokeratlas.com/poker-room/we-ko-pa-casino-resort/tournaments",No,"URL verified - pending scrape"
"Yavapai Casino","(928) 445-5767","https://yavapaicasino.com","1505 E Hwy 69, Prescott, AZ 86301, Prescott, AZ","Prescott","AZ","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/yavapai-casino/tournaments",No,"URL needs verification"
"19th Hole Casino","(650) 589-5825","https://artichokejoes.com","659 Huntington Ave, San Bruno, CA 94066, San Bruno, CA","San Bruno","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/19th-hole-casino/tournaments",No,"URL needs verification"
"29 Palms Casino","(760) 367-7811","https://spotlight29.com","46200 Harrison Place, Coachella, CA 92236, Twentynine Palms, CA","Twentynine Palms","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/29-palms-casino/tournaments",No,"URL needs verification"
"500 Club Casino","(559) 448-0500","https://500clubcasino.com","6700 N Palm Ave, Fresno, CA 93711, Clovis, CA","Clovis","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/500-club-casino/tournaments",No,"URL verified - pending scrape"
"Agua Caliente Casino Palm Springs","(760) 321-2000","https://aguacalientecasinos.com","401 E Amado Rd, Palm Springs, CA 92262, Palm Springs, CA","Palm Springs","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/agua-caliente-casino-palm-springs/tournaments",No,"URL needs verification"
"Agua Caliente Casino Rancho Mirage","(760) 321-2000","https://aguacalientecasinos.com","32250 Bob Hope Dr, Rancho Mirage, CA 92270, Rancho Mirage, CA","Rancho Mirage","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/agua-caliente-casino-rancho-mirage/tournaments",No,"URL needs verification"
"Agua Caliente Cathedral City","(760) 321-2000","https://aguacalientecasinos.com","68960 E Palm Canyon Dr, Cathedral City, CA 92234, Cathedral City, CA","Cathedral City","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/agua-caliente-casino-cathedral-city/tournaments",No,"URL verified - pending scrape"
"Agua Caliente Rancho Mirage","(888) 999-1995","https://aguacalientecasinos.com/rancho-mirage/poker","32-250 Bob Hope Drive, Rancho Mirage, CA 92270, Rancho Mirage, CA","Rancho Mirage","CA","8a-3a | 8a-5a","https://www.pokeratlas.com/poker-room/agua-caliente-casino-resort-spa-rancho-mirage/tournaments",No,"Scrape failed - needs retry"
"Artichoke Joe's Casino","(650) 589-8812","https://artichokejoes.com","659 Huntington Avenue, San Bruno, CA 94066, San Bruno, CA","San Bruno","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/artichoke-joes-casino/tournaments",No,"Scrape failed - needs retry"
"Artichoke Joes Casino","(650) 589-8812","https://artichokejoes.com","659 Huntington Avenue, San Bruno, CA 94066, San Bruno, CA","San Bruno","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/artichoke-joes-casino/tournaments",No,"URL verified - pending scrape"
"Augustine Casino","(760) 391-9500","https://augustinecasino.com","84001 Avenue 54, Coachella, CA 92236, Coachella, CA","Coachella","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/augustine-casino/tournaments",No,"URL needs verification"
"Aviator Casino","(661) 721-7770","https://aviatorcasino.net","1220 Main St, Delano, CA 93215, Delano, CA","Delano","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/aviator-casino/tournaments",No,"URL needs verification"
"Bankers Casino","(831) 422-6666","https://bankerscasino.com","111 Monterey St, Salinas, CA 93901, Salinas, CA","Salinas","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/bankers-casino/tournaments",No,"URL needs verification"
"Barona Casino","(619) 443-2300","https://barona.com","1932 Wildcat Canyon Rd, Lakeside, CA 92040, Lakeside, CA","Lakeside","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/barona-casino/tournaments",No,"URL needs verification"
"Barona Resort & Casino","(619) 443-3130","https://barona.com/poker","1932 Wildcat Canyon Road, Lakeside, CA 92040, Lakeside, CA","Lakeside","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/barona-resort-casino/tournaments",No,"Scrape failed - needs retry"
"Bear River Casino Resort","(707) 733-9644","http://bearrivercasino.com","11 Bear Paws Way, Loleta, CA 95551, Loleta, CA","Loleta","CA","5pm-4am (Wed/Fri) | 2pm-4am (Sat/Sun)","https://www.pokeratlas.com/poker-room/bear-river-casino-resort/tournaments",No,"URL verified - pending scrape"
"Black Oak Casino Resort","(877) 747-8777","https://blackoakcasino.com","14400 Tuolumne Road North, Tuolumne, CA 95379, Tuolumne, CA","Tuolumne","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/black-oak-casino-resort/tournaments",No,"URL verified - pending scrape"
"Blue Lake Casino","(707) 668-9770","https://bluelakecasino.com","777 Casino Way, Blue Lake, CA 95525, Blue Lake, CA","Blue Lake","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/lake-elsinore-casino/tournaments",No,"URL verified - pending scrape"
"Cache Creek Casino","(530) 796-3118","https://cachecreek.com","14455 CA-16, Brooks, CA 95606, Brooks, CA","Brooks","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/cache-creek-casino-resort/tournaments",No,"URL verified - pending scrape"
"California Grand Casino","(925) 685-8888","https://californiagrandcasino.com","5988 Pacheco Blvd, Pacheco, CA 94553, Pacheco, CA","Pacheco","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/california-grand-casino/tournaments",No,"URL needs verification"
"Capitol Casino","(916) 446-0700","https://capitol-casino.com","411 N 16th St, Sacramento, CA 95811, Sacramento, CA","Sacramento","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/capitol-casino/tournaments",No,"Scrape failed - needs retry"
"Caribbean Gardens Casino","(562) 860-5887","https://thegardenscasino.com/poker","11871 Carson Street, Hawaiian Gardens, CA 90716, Colton, CA","Colton","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/caribbean-gardens-casino/tournaments",No,"URL needs verification"
"Casino M8trix","(408) 244-3333","https://casinom8trix.com","1887 Matrix Boulevard, San Jose, CA 95110, San Jose, CA","San Jose","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/casino-m8trix/tournaments",No,"URL needs verification"
"Casino Pauma","(760) 742-2177","https://casinopauma.com","777 Pauma Reservation Rd, Pauma Valley, CA 92061, Pauma Valley, CA","Pauma Valley","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/casino-pauma/tournaments",No,"URL verified - pending scrape"
"Casino Royale Bakersfield","(661) 324-6936","https://casinoroyalebakersfield.com","2201 Oak St, Bakersfield, CA 93301, Bakersfield, CA","Bakersfield","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/casino-royale-bakersfield/tournaments",No,"URL needs verification"
"Chukchansi Gold Resort & Casino","(559) 692-5537","https://chukchansigold.com/poker","711 Lucky Lane, Coarsegold, CA 93614, Coarsegold, CA","Coarsegold","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/chukchansi-gold-resort-casino/tournaments",No,"Scrape failed - needs retry"
"Chumash Casino","(805) 686-0855","https://chumashcasino.com","3400 E Hwy 246, Santa Ynez, CA 93460, Santa Ynez, CA","Santa Ynez","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/chumash-casino/tournaments",No,"URL needs verification"
"Chumash Casino Resort","(805) 686-3825","https://chumashcasino.com/poker","3400 East Highway 246, Santa Ynez, CA 93460, Santa Ynez, CA","Santa Ynez","CA","9a-3a | 9a-3a","https://www.pokeratlas.com/poker-room/chumash-casino-resort/tournaments",No,"URL verified - pending scrape"
"Chumash Resort Casino","(800) 585-3737","https://chumashcasino.com","3400 E Hwy 246, Santa Ynez, CA 93460, Santa Ynez, CA","Santa Ynez","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/chumash-casino-resort/tournaments",No,"Scrape failed - needs retry"
"Club Caribe Casino","(323) 773-4748","https://clubcaribecasino.com","8010 Atlantic Ave, Cudahy, CA 90201, Cudahy, CA","Cudahy","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/club-caribe-casino/tournaments",No,"URL needs verification"
"Club One Casino","(209) 527-1212","https://clubone.casino","1925 Yosemite Blvd, Modesto, CA 95354, Fresno, CA","Fresno","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/club-one-casino/tournaments",No,"Scrape failed - needs retry"
"Colma Card Room","(650) 991-4343","https://colmacardroom.com","1500 Hillside Blvd, Colma, CA 94014, Colma, CA","Colma","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/101-card-room/tournaments",No,"URL verified - pending scrape"
"Commerce Casino","(323) 721-2100","https://commercecasino.com/poker","6131 East Telegraph Road, Commerce, CA 90040, Commerce, CA","Commerce","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/commerce-casino/tournaments",No,"Scrape failed - needs retry"
"Commerce Club","(323) 721-2100","https://commercecasino.com/poker","6131 East Telegraph Road, Commerce, CA 90040, Commerce, CA","Commerce","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/cameo-club-casino/tournaments",No,"Scrape failed - needs retry"
"Crystal Casino","(310) 661-4808","https://thecrystalcasino.com","123 E Artesia Blvd, Compton, CA 90220, Compton, CA","Compton","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/crystal-casino/tournaments",No,"Scrape failed - needs retry"
"Diamond Jims Casino","(661) 256-1300","https://diamondjimscasino.com","1174 W Rosamond Blvd, Rosamond, CA 93560, Rosamond, CA","Rosamond","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/diamond-jims-casino/tournaments",No,"URL needs verification"
"Eagle Mountain Casino","(559) 788-6220","https://eaglemtncasino.com","681 S Tule Rd, Porterville, CA 93257, Porterville, CA","Porterville","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/eagle-mountain-casino/tournaments",No,"URL needs verification"
"Elk Valley Casino","(707) 464-1020","https://elkvalleycasino.com","2500 Howland Hill Rd, Crescent City, CA 95531, Crescent City, CA","Crescent City","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/elk-valley-casino/tournaments",No,"URL verified - pending scrape"
"Fantasy Springs Casino","(760) 342-5000","https://fantasyspringsresort.com","84245 Indio Springs Pkwy, Indio, CA 92203, Indio, CA","Indio","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/fantasy-springs-resort-casino/tournaments",No,"URL verified - pending scrape"
"Feather Falls Casino","(530) 533-3885","https://featherfallscasino.com","3 Alverda Dr, Oroville, CA 95966, Oroville, CA","Oroville","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/feather-falls-casino/tournaments",No,"Scrape failed - needs retry"
"Fort Mojave Casino","(702) 535-5555","https://mojaveresort.com","1 Aha Macav Pkwy, Laughlin, NV 89029, Needles, CA","Needles","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/fort-mojave-casino/tournaments",No,"URL needs verification"
"Garden City Casino","(408) 277-0777","https://gardencityclub.com","100 S 1st St, San Jose, CA 95113, San Jose, CA","San Jose","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/garden-city-casino/tournaments",No,"URL needs verification"
"Gardens Casino","(562) 860-5887","https://thegardenscasino.com/poker","11871 Carson Street, Hawaiian Gardens, CA 90716, Hawaiian Gardens, CA","Hawaiian Gardens","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/gardens-casino/tournaments",No,"URL verified - pending scrape"
"Gold Country Casino","(530) 538-4560","https://goldcountrycasino.com","4020 Olive Hwy, Oroville, CA 95966, Oroville, CA","Oroville","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/gold-country-casino-resort/tournaments",No,"URL verified - pending scrape"
"Graton Resort & Casino","(707) 588-7100","https://gratonresortcasino.com/casino/poker","288 Golf Course Drive West, Rohnert Park, CA 94928, Rohnert Park, CA","Rohnert Park","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/graton-resort-casino/tournaments",No,"URL verified - pending scrape"
"Graton Resort Casino","(707) 588-7100","https://gratonresortcasino.com","288 Golf Course Dr W, Rohnert Park, CA 94928, Rohnert Park, CA","Rohnert Park","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/graton-resort-casino/tournaments",No,"URL verified - pending scrape"
"Harrah's Resort SoCal","(760) 751-3184","https://caesars.com/harrahs-socal/poker","777 Harrah's Resort Southern California Way, Valley Center, CA 92082, Funner, CA","Funner","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/harrahs-resort-socal/tournaments",No,"URL verified - pending scrape"
"Harrahs Resort So Cal","(760) 751-3100","https://harrahssocal.com","777 Harrahs Rincon Way, Valley Center, CA 92082, Valley Center, CA","Valley Center","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/harrahs-resort-southern-california/tournaments",No,"Scrape failed - needs retry"
"Harrahs Resort SoCal","(760) 751-3100","https://harrahsresort.com","777 Harrahs Rincon Way, Valley Center, CA 92082, Valley Center, CA","Valley Center","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/harrahs-resort-socal/tournaments",No,"Scrape failed - needs retry"
"Hawaiian Gardens Casino","(562) 860-5887","https://thegardenscasino.com/poker","11871 Carson Street, Hawaiian Gardens, CA 90716, Hawaiian Gardens, CA","Hawaiian Gardens","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/hawaiian-gardens-casino/tournaments",No,"URL needs verification"
"Hollywood Park Casino","(310) 330-2800","https://hollywoodpark.com","3883 W Century Blvd, Inglewood, CA 90303, Inglewood, CA","Inglewood","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/hollywood-park-casino/tournaments",No,"Scrape failed - needs retry"
"Hustler Casino","(310) 719-9800","https://hustlercasino.com","1000 West Redondo Beach Boulevard, Gardena, CA 90247, Gardena, CA","Gardena","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/hustler-casino/tournaments",No,"URL verified - pending scrape"
"Jackson Rancheria Casino","(209) 223-1677","https://jacksoncasino.com","12222 New York Ranch Rd, Jackson, CA 95642, Jackson, CA","Jackson","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/jackson-rancheria-casino/tournaments",No,"URL needs verification"
"Jackson Rancheria Casino Resort","(209) 223-8469","https://jacksoncasino.com/poker","12222 New York Ranch Road, Jackson, CA 95642, Jackson, CA","Jackson","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/jackson-rancheria-casino-resort/tournaments",No,"URL verified - pending scrape"
"Jamul Casino","(619) 315-2250","https://jamulcasinosd.com","14145 Campo Rd, Jamul, CA 91935, Jamul, CA","Jamul","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/jamul-casino/tournaments",Yes,"https://www.pokeratlas.com/poker-room/jamul-casino/tournaments"
"Konocti Vista Casino","(707) 262-1900","https://kvicasino.com","2755 Mission Rancheria Rd, Lakeport, CA 95453, Lakeport, CA","Lakeport","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/konocti-vista-casino/tournaments",No,"URL verified - pending scrape"
"Larry Flynt's Lucky Lady Casino","(310) 352-3400","https://luckyladyla.com","1045 W Rosecrans Ave, Gardena, CA 90247, Gardena, CA","Gardena","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/larry-flynts-lucky-lady-casino/tournaments",No,"Scrape failed - needs retry"
"Larry Flynts Lucky Lady Casino","(310) 352-3400","https://luckyladycardroom.com","1045 W Rosecrans Ave, Gardena, CA 90247, Gardena, CA","Gardena","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/larry-flynts-lucky-lady-casino/tournaments",No,"URL verified - pending scrape"
"Livermore Casino","(925) 447-7744","https://livermorecasino.net","3571 1st St, Livermore, CA 94551, Livermore, CA","Livermore","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/livermore-casino/tournaments",No,"Scrape failed - needs retry"
"Lodi Casino","(209) 369-5825","https://lodicasino.com","221 W Lockeford St, Lodi, CA 95240, Lodi, CA","Lodi","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/lodi-casino/tournaments",Yes,"https://www.pokeratlas.com/poker-room/lodi-casino/tournaments"
"Lucky Chances Casino","(650) 758-8888","https://luckychances.com","1700 Hillside Blvd, Colma, CA 94014, Colma, CA","Colma","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/lucky-chances/tournaments",No,"URL verified - pending scrape"
"M8trix","(408) 244-3333","https://casinom8trix.com","1887 Matrix Boulevard, San Jose, CA 95110, San Jose, CA","San Jose","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/m8trix/tournaments",No,"Scrape failed - needs retry"
"Morongo Casino","(951) 849-3080","https://morongocasinoresort.com","49500 Seminole Dr, Cabazon, CA 92230, Cabazon, CA","Cabazon","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/morongo-casino/tournaments",No,"URL needs verification"
"Morongo Casino Resort","(951) 849-3080","https://morongocasinoresort.com/poker","49500 Seminole Drive, Cabazon, CA 92230, Cabazon, CA","Cabazon","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/morongo-casino-resort-spa/tournaments",No,"Scrape failed - needs retry"
"Oaks Card Club","(510) 653-4456","https://oakscardclub.com","4097 San Pablo Ave, Emeryville, CA 94608, Emeryville, CA","Emeryville","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/oaks-card-club/tournaments",No,"Scrape failed - needs retry"
"Ocean's Eleven Casino","(760) 439-6988","https://oceans11.com","121 Brooks Street, Oceanside, CA 92054, Oceanside, CA","Oceanside","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/oceans-11-casino/tournaments",No,"Scrape failed - needs retry"
"Oceans Eleven Casino","(760) 439-6988","https://oceans11casino.com","121 Brooks St, Oceanside, CA 92054, Oceanside, CA","Oceanside","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/oceans-eleven-casino/tournaments",No,"URL needs verification"
"Pala Casino","(760) 510-5100","https://palacasino.com","11154 CA-76, Pala, CA 92059, Pala, CA","Pala","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/pala-casino/tournaments",No,"URL needs verification"
"Pala Casino Spa Resort","(760) 510-2235","https://palacasino.com/casino/poker-room","11154 Highway 76, Pala, CA 92059, Pala, CA","Pala","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/pala-casino-spa-resort/tournaments",No,"Scrape failed - needs retry"
"Parkwest Bicycle Casino","(562) 888-9888","https://thebike.com","888 Bicycle Casino Drive, Bell Gardens, CA 90201, Bell Gardens, CA","Bell Gardens","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/bicycle-hotel-casino/tournaments",No,"Scrape failed - needs retry"
"Parkwest Casino Lodi","(209) 334-9777","https://parkwestcasino.com","2400 W Turner Rd, Lodi, CA 95242, Lodi, CA","Lodi","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/lodi-card-room/tournaments",No,"URL verified - pending scrape"
"Parkwest Casino Manteca","(209) 239-1455","https://parkwestcasinomanteca.com","1355 N. Main Street, Manteca, CA 95336, Manteca, CA","Manteca","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/parkwest-casino-manteca/tournaments",No,"URL needs verification"
"Parkwest Casino Sonoma","(707) 795-6121","https://parkwestcasinosonoma.com","5151 Montero Way, Petaluma, CA 94954, San Jose, CA","San Jose","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/parkwest-casino-sonoma/tournaments",No,"URL verified - pending scrape"
"Pecanga Resort Casino","(951) 693-1819","https://pechanga.com","45000 Pechanga Pkwy, Temecula, CA 92592, Temecula, CA","Temecula","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/pecanga-resort-casino/tournaments",No,"URL needs verification"
"Players Casino","(805) 644-7263","https://playerscasino.com","6580 Auto Center Dr, Ventura, CA 93003, Ventura, CA","Ventura","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/players-casino-ventura/tournaments",Yes,"https://www.pokeratlas.com/poker-room/players-casino-ventura/tournaments"
"Red Hawk Casino","(530) 677-2580","https://redhawkcasino.com","1 Red Hawk Pkwy, Placerville, CA 95667, Placerville, CA","Placerville","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/red-hawk-casino/tournaments",No,"URL verified - pending scrape"
"River Rock Casino","(707) 857-2777","https://riverrockcasino.com","3250 Hwy 128, Geyserville, CA 95441, Geyserville, CA","Geyserville","CA","24 Hours | 24 Hours","https://www.pokeratlas.com/poker-room/river-rock-casino/tournaments",No,"URL needs verification"
