Venue Name,City,State,Venue Website,Verified,PokerAtlas URL,Status
"Casino Del Sol","Tucson","AZ","https://casinodelsolresort.com",YES,"https://www.pokeratlas.com/poker-room/casino-del-sol/tournaments","no_data"
"Cliff Castle Casino","Camp Verde","AZ","https://cliffcastlecasino.com",YES,"https://www.pokeratlas.com/poker-room/cliff-castle-casino-hotel/tournaments","no_data"
"Desert Diamond Casino Sahuarita","Sahuarita","AZ","https://desertdiamond.com",NO,"https://www.pokeratlas.com/poker-room/desert-diamond-casino-sahuarita/tournaments","no_data"
"Desert Diamond Casino Tucson","Tucson","AZ","https://desertdiamond.com",YES,"https://www.pokeratlas.com/poker-room/desert-diamond-casino-west-valley/tournaments","complete"
"Fort McDowell Casino","Fountain Hills","AZ","https://ftwmcdowellcasino.com",YES,"https://www.pokeratlas.com/poker-room/fort-mcdowell-casino/tournaments","no_data"
"Gila River Wild Horse Pass","Chandler","AZ","https://playaz.com/poker",YES,"https://www.pokeratlas.com/poker-room/gila-river-hotels-casinos-wild-horse-pass/tournaments","no_data"
"Mazatzal Casino","Payson","AZ","https://mazatzalcasino.com",YES,"https://www.pokeratlas.com/poker-room/mazatzal-hotel-casino/tournaments","no_data"
"Paradise Casino","Yuma","AZ","https://paradise-casinos.com",NO,"https://www.pokeratlas.com/poker-room/paradise-casino/tournaments","ready"
"Talking Stick Resort","Scottsdale","AZ","https://talkingstickresort.com",YES,"https://www.pokeratlas.com/poker-room/talking-stick-resort/tournaments","no_data"
"Twin Arrows Casino","Flagstaff","AZ","https://twinarrows.com",NO,"https://www.pokeratlas.com/poker-room/twin-arrows-casino/tournaments","ready"
"We-Ko-Pa Casino Resort","Fort McDowell","AZ","https://wekopacasino.com",YES,"https://www.pokeratlas.com/poker-room/we-ko-pa-casino-resort/tournaments","no_data"
"Yavapai Casino","Prescott","AZ","https://yavapaicasino.com",NO,"https://www.pokeratlas.com/poker-room/yavapai-casino/tournaments","no_data"
"19th Hole Casino","San Bruno","CA","https://artichokejoes.com",NO,"https://www.pokeratlas.com/poker-room/19th-hole-casino/tournaments","no_data"
"29 Palms Casino","Twentynine Palms","CA","https://spotlight29.com",NO,"https://www.pokeratlas.com/poker-room/29-palms-casino/tournaments","ready"
"500 Club Casino","Clovis","CA","https://500clubcasino.com",YES,"https://www.pokeratlas.com/poker-room/500-club-casino/tournaments","no_data"
"Agua Caliente Casino Palm Springs","Palm Springs","CA","https://aguacalientecasinos.com",NO,"https://www.pokeratlas.com/poker-room/agua-caliente-casino-palm-springs/tournaments","no_data"
"Agua Caliente Casino Rancho Mirage","Rancho Mirage","CA","https://aguacalientecasinos.com",NO,"https://www.pokeratlas.com/poker-room/agua-caliente-casino-rancho-mirage/tournaments","ready"
"Agua Caliente Cathedral City","Cathedral City","CA","https://aguacalientecasinos.com",YES,"https://www.pokeratlas.com/poker-room/agua-caliente-casino-cathedral-city/tournaments","no_data"
"Agua Caliente Rancho Mirage","Rancho Mirage","CA","https://aguacalientecasinos.com/rancho-mirage/poker",YES,"https://www.pokeratlas.com/poker-room/agua-caliente-casino-resort-spa-rancho-mirage/tournaments","no_data"
"Artichoke Joe's Casino","San Bruno","CA","https://artichokejoes.com",YES,"https://www.pokeratlas.com/poker-room/artichoke-joes-casino/tournaments","no_data"
"Artichoke Joes Casino","San Bruno","CA","https://artichokejoes.com",YES,"https://www.pokeratlas.com/poker-room/artichoke-joes-casino/tournaments","ready"
"Augustine Casino","Coachella","CA","https://augustinecasino.com",NO,"https://www.pokeratlas.com/poker-room/augustine-casino/tournaments","ready"
"Aviator Casino","Delano","CA","https://aviatorcasino.net",NO,"https://www.pokeratlas.com/poker-room/aviator-casino/tournaments","no_data"
"Bankers Casino","Salinas","CA","https://bankerscasino.com",NO,"https://www.pokeratlas.com/poker-room/bankers-casino/tournaments","ready"
"Barona Casino","Lakeside","CA","https://barona.com",NO,"https://www.pokeratlas.com/poker-room/barona-casino/tournaments","ready"
"Barona Resort & Casino","Lakeside","CA","https://barona.com/poker",YES,"https://www.pokeratlas.com/poker-room/barona-resort-casino/tournaments","no_data"
"Bear River Casino Resort","Loleta","CA","http://bearrivercasino.com",YES,"https://www.pokeratlas.com/poker-room/bear-river-casino-resort/tournaments","no_data"
"Black Oak Casino Resort","Tuolumne","CA","https://blackoakcasino.com",YES,"https://www.pokeratlas.com/poker-room/black-oak-casino-resort/tournaments","no_data"
"Blue Lake Casino","Blue Lake","CA","https://bluelakecasino.com",YES,"https://www.pokeratlas.com/poker-room/lake-elsinore-casino/tournaments","no_data"
"Cache Creek Casino","Brooks","CA","https://cachecreek.com",YES,"https://www.pokeratlas.com/poker-room/cache-creek-casino-resort/tournaments","no_data"
"California Grand Casino","Pacheco","CA","https://californiagrandcasino.com",NO,"https://www.pokeratlas.com/poker-room/california-grand-casino/tournaments","no_data"
"Capitol Casino","Sacramento","CA","https://capitol-casino.com",YES,"https://www.pokeratlas.com/poker-room/capitol-casino/tournaments","no_data"
"Caribbean Gardens Casino","Colton","CA","https://thegardenscasino.com/poker",NO,"https://www.pokeratlas.com/poker-room/caribbean-gardens-casino/tournaments","no_data"
"Casino M8trix","San Jose","CA","https://casinom8trix.com",NO,"https://www.pokeratlas.com/poker-room/casino-m8trix/tournaments","no_data"
"Casino Pauma","Pauma Valley","CA","https://casinopauma.com",YES,"https://www.pokeratlas.com/poker-room/casino-pauma/tournaments","no_data"
"Casino Royale Bakersfield","Bakersfield","CA","https://casinoroyalebakersfield.com",NO,"https://www.pokeratlas.com/poker-room/casino-royale-bakersfield/tournaments","ready"
"Chukchansi Gold Resort & Casino","Coarsegold","CA","https://chukchansigold.com/poker",YES,"https://www.pokeratlas.com/poker-room/chukchansi-gold-resort-casino/tournaments","no_data"
"Chumash Casino","Santa Ynez","CA","https://chumashcasino.com",NO,"https://www.pokeratlas.com/poker-room/chumash-casino/tournaments","ready"
"Chumash Casino Resort","Santa Ynez","CA","https://chumashcasino.com/poker",YES,"https://www.pokeratlas.com/poker-room/chumash-casino-resort/tournaments","ready"
"Chumash Resort Casino","Santa Ynez","CA","https://chumashcasino.com",YES,"https://www.pokeratlas.com/poker-room/chumash-casino-resort/tournaments","no_data"
"Club Caribe Casino","Cudahy","CA","https://clubcaribecasino.com",NO,"https://www.pokeratlas.com/poker-room/club-caribe-casino/tournaments","ready"
"Club One Casino","Fresno","CA","https://clubone.casino",YES,"https://www.pokeratlas.com/poker-room/club-one-casino/tournaments","no_data"
"Colma Card Room","Colma","CA","https://colmacardroom.com",YES,"https://www.pokeratlas.com/poker-room/101-card-room/tournaments","no_data"
"Commerce Casino","Commerce","CA","https://commercecasino.com/poker",YES,"https://www.pokeratlas.com/poker-room/commerce-casino/tournaments","no_data"
"Commerce Club","Commerce","CA","https://commercecasino.com/poker",YES,"https://www.pokeratlas.com/poker-room/cameo-club-casino/tournaments","no_data"
"Crystal Casino","Compton","CA","https://thecrystalcasino.com",YES,"https://www.pokeratlas.com/poker-room/crystal-casino/tournaments","no_data"
"Diamond Jims Casino","Rosamond","CA","https://diamondjimscasino.com",NO,"https://www.pokeratlas.com/poker-room/diamond-jims-casino/tournaments","no_data"
"Eagle Mountain Casino","Porterville","CA","https://eaglemtncasino.com",NO,"https://www.pokeratlas.com/poker-room/eagle-mountain-casino/tournaments","ready"
"Elk Valley Casino","Crescent City","CA","https://elkvalleycasino.com",YES,"https://www.pokeratlas.com/poker-room/elk-valley-casino/tournaments","no_data"
"Fantasy Springs Casino","Indio","CA","https://fantasyspringsresort.com",YES,"https://www.pokeratlas.com/poker-room/fantasy-springs-resort-casino/tournaments","no_data"
"Feather Falls Casino","Oroville","CA","https://featherfallscasino.com",YES,"https://www.pokeratlas.com/poker-room/feather-falls-casino/tournaments","no_data"
"Fort Mojave Casino","Needles","CA","https://mojaveresort.com",NO,"https://www.pokeratlas.com/poker-room/fort-mojave-casino/tournaments","no_data"
"Garden City Casino","San Jose","CA","https://gardencityclub.com",NO,"https://www.pokeratlas.com/poker-room/garden-city-casino/tournaments","ready"
"Gardens Casino","Hawaiian Gardens","CA","https://thegardenscasino.com/poker",YES,"https://www.pokeratlas.com/poker-room/gardens-casino/tournaments","no_data"
"Gold Country Casino","Oroville","CA","https://goldcountrycasino.com",YES,"https://www.pokeratlas.com/poker-room/gold-country-casino-resort/tournaments","no_data"
"Graton Resort & Casino","Rohnert Park","CA","https://gratonresortcasino.com/casino/poker",YES,"https://www.pokeratlas.com/poker-room/graton-resort-casino/tournaments","no_data"
"Graton Resort Casino","Rohnert Park","CA","https://gratonresortcasino.com",YES,"https://www.pokeratlas.com/poker-room/graton-resort-casino/tournaments","ready"
"Harrah's Resort SoCal","Funner","CA","https://caesars.com/harrahs-socal/poker",YES,"https://www.pokeratlas.com/poker-room/harrahs-resort-socal/tournaments","no_data"
"Harrahs Resort So Cal","Valley Center","CA","https://harrahssocal.com",YES,"https://www.pokeratlas.com/poker-room/harrahs-resort-southern-california/tournaments","no_data"
"Harrahs Resort SoCal","Valley Center","CA","https://harrahsresort.com",YES,"https://www.pokeratlas.com/poker-room/harrahs-resort-socal/tournaments","ready"
"Hawaiian Gardens Casino","Hawaiian Gardens","CA","https://thegardenscasino.com/poker",NO,"https://www.pokeratlas.com/poker-room/hawaiian-gardens-casino/tournaments","ready"
"Hollywood Park Casino","Inglewood","CA","https://hollywoodpark.com",YES,"https://www.pokeratlas.com/poker-room/hollywood-park-casino/tournaments","no_data"
"Hustler Casino","Gardena","CA","https://hustlercasino.com",YES,"https://www.pokeratlas.com/poker-room/hustler-casino/tournaments","no_data"
"Jackson Rancheria Casino","Jackson","CA","https://jacksoncasino.com",NO,"https://www.pokeratlas.com/poker-room/jackson-rancheria-casino/tournaments","ready"
"Jackson Rancheria Casino Resort","Jackson","CA","https://jacksoncasino.com/poker",YES,"https://www.pokeratlas.com/poker-room/jackson-rancheria-casino-resort/tournaments","no_data"
"Jamul Casino","Jamul","CA","https://jamulcasinosd.com",YES,"https://www.pokeratlas.com/poker-room/jamul-casino/tournaments","complete"
"Konocti Vista Casino","Lakeport","CA","https://kvicasino.com",YES,"https://www.pokeratlas.com/poker-room/konocti-vista-casino/tournaments","no_data"
"Larry Flynt's Lucky Lady Casino","Gardena","CA","https://luckyladyla.com",YES,"https://www.pokeratlas.com/poker-room/larry-flynts-lucky-lady-casino/tournaments","no_data"
"Larry Flynts Lucky Lady Casino","Gardena","CA","https://luckyladycardroom.com",YES,"https://www.pokeratlas.com/poker-room/larry-flynts-lucky-lady-casino/tournaments","ready"
"Livermore Casino","Livermore","CA","https://livermorecasino.net",YES,"https://www.pokeratlas.com/poker-room/livermore-casino/tournaments","complete"
"Lodi Casino","Lodi","CA","https://lodicasino.com",NO,"https://www.pokeratlas.com/poker-room/lodi-casino/tournaments","ready"
"Lucky Chances Casino","Colma","CA","https://luckychances.com",YES,"https://www.pokeratlas.com/poker-room/lucky-chances/tournaments","no_data"
"M8trix","San Jose","CA","https://casinom8trix.com",YES,"https://www.pokeratlas.com/poker-room/m8trix/tournaments","no_data"
"Morongo Casino","Cabazon","CA","https://morongocasinoresort.com",NO,"https://www.pokeratlas.com/poker-room/morongo-casino/tournaments","no_data"
"Morongo Casino Resort","Cabazon","CA","https://morongocasinoresort.com/poker",YES,"https://www.pokeratlas.com/poker-room/morongo-casino-resort-spa/tournaments","no_data"
"Oaks Card Club","Emeryville","CA","https://oakscardclub.com",YES,"https://www.pokeratlas.com/poker-room/oaks-card-club/tournaments","no_data"
"Ocean's Eleven Casino","Oceanside","CA","https://oceans11.com",YES,"https://www.pokeratlas.com/poker-room/oceans-11-casino/tournaments","no_data"
"Oceans Eleven Casino","Oceanside","CA","https://oceans11casino.com",NO,"https://www.pokeratlas.com/poker-room/oceans-eleven-casino/tournaments","ready"
"Pala Casino","Pala","CA","https://palacasino.com",NO,"https://www.pokeratlas.com/poker-room/pala-casino/tournaments","ready"
"Pala Casino Spa Resort","Pala","CA","https://palacasino.com/casino/poker-room",YES,"https://www.pokeratlas.com/poker-room/pala-casino-spa-resort/tournaments","no_data"
"Parkwest Bicycle Casino","Bell Gardens","CA","https://thebike.com",YES,"https://www.pokeratlas.com/poker-room/bicycle-hotel-casino/tournaments","no_data"
"Parkwest Casino Lodi","Lodi","CA","https://parkwestcasino.com",YES,"https://www.pokeratlas.com/poker-room/lodi-card-room/tournaments","no_data"
"Parkwest Casino Manteca","Manteca","CA","https://parkwestcasinomanteca.com",NO,"https://www.pokeratlas.com/poker-room/parkwest-casino-manteca/tournaments","no_data"
"Parkwest Casino Sonoma","San Jose","CA","https://parkwestcasinosonoma.com",YES,"https://www.pokeratlas.com/poker-room/parkwest-casino-sonoma/tournaments","no_data"
"Pecanga Resort Casino","Temecula","CA","https://pechanga.com",NO,"https://www.pokeratlas.com/poker-room/pecanga-resort-casino/tournaments","ready"
"Players Casino","Ventura","CA","https://playerscasino.com",YES,"https://www.pokeratlas.com/poker-room/players-casino-ventura/tournaments","complete"
"Red Hawk Casino","Placerville","CA","https://redhawkcasino.com",YES,"https://www.pokeratlas.com/poker-room/red-hawk-casino/tournaments","no_data"
"River Rock Casino","Geyserville","CA","https://riverrockcasino.com",NO,"https://www.pokeratlas.com/poker-room/river-rock-casino/tournaments","ready"
"Robinson Rancheria Casino","Nice","CA","https://robinsonrancheria.net",YES,"https://www.pokeratlas.com/poker-room/robinson-rancheria-casino/tournaments","no_data"
"Rolling Hills Casino","Corning","CA","https://rollinghillscasino.com",NO,"https://www.pokeratlas.com/poker-room/rolling-hills-casino/tournaments","ready"
"San Pablo Casino","San Pablo","CA","https://sanpablocasino.com",NO,"https://www.pokeratlas.com/poker-room/san-pablo-casino/tournaments","ready"
"San Pablo Lytton Casino","San Pablo","CA","https://sanpablolytton.com",YES,"https://www.pokeratlas.com/poker-room/san-pablo-lytton-casino/tournaments","no_data"
"Seven Mile Casino","Chula Vista","CA","https://sevenmilecasino.com",NO,"https://www.pokeratlas.com/poker-room/seven-mile-casino/tournaments","ready"
"Soboba Casino","San Jacinto","CA","https://soboba.com",YES,"https://www.pokeratlas.com/poker-room/soboba-casino-resort/tournaments","no_data"
"Spa Resort Casino","Palm Springs","CA","https://sparesortcasino.com",YES,"https://www.pokeratlas.com/poker-room/spa-resort-casino/tournaments","no_data"
"Spotlight 29 Casino","Coachella","CA","https://spotlight29.com",YES,"https://www.pokeratlas.com/poker-room/spotlight-29-casino/tournaments","no_data"
"Stones Gambling Hall","Citrus Heights","CA","https://stlcasino.com",YES,"https://www.pokeratlas.com/poker-room/stones-gambling-hall/tournaments","complete"
"Sycuan Casino","El Cajon","CA","https://sycuan.com",NO,"https://www.pokeratlas.com/poker-room/sycuan-casino/tournaments","ready"
"Sycuan Casino Resort","El Cajon","CA","https://sycuan.com/casino/poker",YES,"https://www.pokeratlas.com/poker-room/sycuan-casino-resort/tournaments","no_data"
"Table Mountain Casino","Friant","CA","https://tmcasino.com",YES,"https://www.pokeratlas.com/poker-room/table-mountain-casino/tournaments","no_data"
"Tachi Palace Casino Resort","Lemoore","CA","https://palacasino.com/casino/poker-room",YES,"https://www.pokeratlas.com/poker-room/paiute-palace-casino/tournaments","no_data"
"Thunder Valley Casino","Lincoln","CA","https://thundervalleyresort.com",YES,"https://www.pokeratlas.com/poker-room/thunder-valley-casino-resort/tournaments","no_data"
"Tortoise Rock Casino","Twentynine Palms","CA","https://tortoiserockcasino.com",NO,"https://www.pokeratlas.com/poker-room/tortoise-rock-casino/tournaments","ready"
"Turlock Poker Room","Turlock","CA","https://turlockpokerroom.com",YES,"https://www.pokeratlas.com/poker-room/turlock-poker-room/tournaments","complete"
"Twin Pine Casino","Middletown","CA","https://twinpine.com",NO,"https://www.pokeratlas.com/poker-room/twin-pine-casino/tournaments","ready"
"Valley View Casino","Valley Center","CA","https://valleyviewcasino.com",YES,"https://www.pokeratlas.com/poker-room/valley-view-casino-hotel/tournaments","no_data"
"Viejas Casino","Alpine","CA","https://viejas.com",NO,"https://www.pokeratlas.com/poker-room/viejas-casino/tournaments","ready"
"Viejas Casino & Resort","Alpine","CA","https://viejas.com/gaming/poker",YES,"https://www.pokeratlas.com/poker-room/viejas-casino-resort/tournaments","no_data"
"Win-River Casino","Redding","CA","https://winrivercasino.com",NO,"https://www.pokeratlas.com/poker-room/win-river-casino/tournaments","no_data"
"Win-River Resort & Casino","Redding","CA","https://winriverresort.com",YES,"https://www.pokeratlas.com/poker-room/win-river-resort-casino/tournaments","no_data"
"Ameristar Black Hawk","Black Hawk","CO","https://ameristarblackhawk.com",NO,"https://www.pokeratlas.com/poker-room/ameristar-black-hawk/tournaments","ready"
"Central City Poker","Central City","CO","https://centralcitypoker.com",NO,"https://www.pokeratlas.com/poker-room/central-city-poker/tournaments","ready"
"Colorado Card Room","Black Hawk","CO","https://coloradocardroom.com",NO,"https://www.pokeratlas.com/poker-room/colorado-card-room/tournaments","ready"
"Cripple Creek Double Eagle","Cripple Creek","CO","https://doubleeaglehotel.com",NO,"https://www.pokeratlas.com/poker-room/cripple-creek-double-eagle/tournaments","no_data"
"Golden Gates Casino","Black Hawk","CO","https://theggg.com",NO,"https://www.pokeratlas.com/poker-room/golden-gates-casino/tournaments","ready"
"Isle Casino Black Hawk","Black Hawk","CO","https://isleblackhawk.com",NO,"https://www.pokeratlas.com/poker-room/isle-casino-black-hawk/tournaments","ready"
"Lady Luck Black Hawk","Black Hawk","CO","https://ladyluckblackhawk.com",NO,"https://www.pokeratlas.com/poker-room/lady-luck-black-hawk/tournaments","ready"
"Monarch Black Hawk","Black Hawk","CO","https://monarchblackhawk.com",YES,"https://www.pokeratlas.com/poker-room/monarch-casino-resort-spa-black-hawk/tournaments","no_data"
"Monarch Casino Resort Spa","Black Hawk","CO","https://monarchblackhawk.com",NO,"https://www.pokeratlas.com/poker-room/monarch-casino-resort-spa/tournaments","ready"
"Saratoga Casino Black Hawk","Black Hawk","CO","https://saratogacasinobh.com",NO,"https://www.pokeratlas.com/poker-room/saratoga-casino-black-hawk/tournaments","ready"
"Foxwoods Poker Room","Mashantucket","CT","https://foxwoods.com",NO,"https://www.pokeratlas.com/poker-room/foxwoods-poker-room/tournaments","ready"
"Foxwoods Resort Casino","Mashantucket","CT","https://foxwoods.com/poker",YES,"https://www.pokeratlas.com/poker-room/foxwoods-resort-casino/tournaments","no_data"
"MGM Grand at Foxwoods","Mashantucket","CT","https://foxwoods.com/poker",NO,"https://www.pokeratlas.com/poker-room/mgm-grand-at-foxwoods/tournaments","ready"
"Mohegan Sun","Uncasville","CT","https://mohegansun.com/poker",YES,"https://www.pokeratlas.com/poker-room/mohegan-sun/tournaments","no_data"
"Mohegan Sun Casino","Uncasville","CT","https://mohegansun.com/poker",NO,"https://www.pokeratlas.com/poker-room/mohegan-sun-casino/tournaments","no_data"
"Mohegan Sun Poker","Uncasville","CT","https://mohegansun.com",NO,"https://www.pokeratlas.com/poker-room/mohegan-sun-poker/tournaments","no_data"
"Delaware Park Casino","Wilmington","DE","https://delawarepark.com",NO,"https://www.pokeratlas.com/poker-room/delaware-park-casino/tournaments","ready"
"Dover Downs Casino","Dover","DE","https://doverdowns.com",NO,"https://www.pokeratlas.com/poker-room/dover-downs-casino/tournaments","ready"
"Dover Downs Hotel & Casino","Dover","DE","https://doverdowns.com",NO,"https://www.pokeratlas.com/poker-room/dover-downs-hotel-and-casino/tournaments","ready"
"Harrington Raceway & Casino","Harrington","DE","https://harringtonraceway.com",NO,"https://www.pokeratlas.com/poker-room/harrington-raceway-and-casino/tournaments","ready"
"Harrington Raceway Casino","Harrington","DE","https://harringtonraceway.com",NO,"https://www.pokeratlas.com/poker-room/harrington-raceway-casino/tournaments","ready"
"Wilmington Poker Club","Wilmington","DE","https://wilmingtonpoker.com",NO,"https://www.pokeratlas.com/poker-room/wilmington-poker-club/tournaments","ready"
"bestbet Jacksonville","Jacksonville","FL","https://bestbetjax.com/poker",YES,"https://www.pokeratlas.com/poker-room/bestbet-jacksonville/tournaments","ready"
"Bestbet Jacksonville","Jacksonville","FL","https://bestbetjax.com",YES,"https://www.pokeratlas.com/poker-room/bestbet-jacksonville/tournaments","complete"
"Bestbet Orange Park","Orange Park","FL","https://bestbetjax.com",YES,"https://www.pokeratlas.com/poker-room/bestbet-orange-park/tournaments","complete"
"Calder Casino","Miami Gardens","FL","https://caldercasino.com",YES,"https://www.pokeratlas.com/poker-room/calder-casino/tournaments","no_data"
"Casino Fort Pierce","Fort Pierce","FL","http://casinomiamijaialai.com/ftpierce/poker",YES,"https://www.pokeratlas.com/poker-room/ft-pierce-jai-alai-poker/tournaments","no_data"
"Casino Miami","Miami","FL","https://casinomiami.com",YES,"https://www.pokeratlas.com/poker-room/casino-miami/tournaments","complete"
"Club 52 Melbourne","Melbourne","FL","https://melbournegreyhouse.com",NO,"https://www.pokeratlas.com/poker-room/club-52-melbourne/tournaments","ready"
"Dania Jai-Alai Casino","Dania Beach","FL","https://casinodaniabeach.com/poker",YES,"https://www.pokeratlas.com/poker-room/dania-beach-casino/tournaments","no_data"
"Dania Pokers","Dania Beach","FL","https://casinodaniabeach.com/poker",NO,"https://www.pokeratlas.com/poker-room/dania-pokers/tournaments","ready"
"Daytona Beach Kennel Club","Daytona Beach","FL","https://daytonabeachpoker.com",NO,"https://www.pokeratlas.com/poker-room/daytona-beach-kennel-club/tournaments","ready"
"Daytona Beach Racing & Card Club","Daytona Beach","FL","https://daytonabeachpoker.com",YES,"https://www.pokeratlas.com/poker-room/daytona-beach-racing-card-club/tournaments","no_data"
"Derby Lane","St. Petersburg","FL","https://derbylanestpete.com",YES,"https://www.pokeratlas.com/poker-room/derby-lane/tournaments","no_data"
"Ebro Greyhound Park","Ebro","FL","https://goebro.com",YES,"https://www.pokeratlas.com/poker-room/ebro-greyhound-park/tournaments","no_data"
"Gulfstream Park","Hallandale Beach","FL","https://gulfstreampark.com",NO,"https://www.pokeratlas.com/poker-room/gulfstream-park/tournaments","ready"
"Gulfstream Park Racing & Casino","Hallandale Beach","FL","https://gulfstreampark.com",YES,"https://www.pokeratlas.com/poker-room/gulfstream-park-racing-and-casino/tournaments","no_data"
"Hamilton Jai Alai & Poker","Jasper","FL","https://hamiltonjaialaianpoker.com",NO,"https://www.pokeratlas.com/poker-room/hamilton-jai-alai-and-poker/tournaments","ready"
"Harrah's Pompano Beach","Pompano Beach","FL","https://caesars.com/harrahs-pompano-beach/casino/wsop-poker-room",NO,"https://www.pokeratlas.com/poker-room/harrahs-pompano-beach/tournaments","no_data"
"Hialeah Park Casino","Hialeah","FL","https://hialeahparkcasino.com",YES,"https://www.pokeratlas.com/poker-room/hialeah-park-racing-casino/tournaments","no_data"
"Isle Casino Pompano","Pompano Beach","FL","https://theislepompanopark.com",YES,"https://www.pokeratlas.com/poker-room/isle-casino-racing-pompano-park/tournaments","no_data"
"Magic City Casino","Miami","FL","https://magicicitycasino.com",YES,"https://www.pokeratlas.com/poker-room/magic-city-casino/tournaments","no_data"
"Mardi Gras Casino","Hallandale Beach","FL","https://mardigrascasinofl.com",NO,"https://www.pokeratlas.com/poker-room/mardi-gras-casino/tournaments","ready"
"Melbourne Greyhound Park","Melbourne","FL","https://melbournegreyhouse.com",YES,"https://www.pokeratlas.com/poker-room/melbourne-greyhound-park/tournaments","no_data"
"Naples Fort Myers Greyhound","Bonita Springs","FL","https://naplesfortmyersgreyhound.com",YES,"https://www.pokeratlas.com/poker-room/naples-fort-myers-greyhound-track/tournaments","no_data"
"Naples Fort Myers Greyhound Racing","Bonita Springs","FL","https://naplesfortmyersgreyhound.com",NO,"https://www.pokeratlas.com/poker-room/naples-fort-myers-greyhound-racing/tournaments","ready"
"Ocala Poker & Jai Alai","Ocala","FL","https://ocalabets.com",YES,"https://www.pokeratlas.com/poker-room/ocala-gainesville-poker/tournaments","no_data"
"Orange City Racing & Card Club","Orange City","FL","https://orangecitypoker.com",YES,"https://www.pokeratlas.com/poker-room/orange-city-racing-card-club/tournaments","no_data"
"Orange Park Kennel Club","Orange Park","FL","https://bestbetjax.com/orange-park",NO,"https://www.pokeratlas.com/poker-room/orange-park-kennel-club/tournaments","ready"
"Palm Beach Kennel Club","West Palm Beach","FL","https://thepalmbeachkennel.com",YES,"https://www.pokeratlas.com/poker-room/palm-beach-kennel-club/tournaments","no_data"
"Pensacola Greyhound Track","Pensacola","FL","https://pensacolagreyhoundtrack.com",YES,"https://www.pokeratlas.com/poker-room/pensacola-greyhound-track/tournaments","no_data"
"Sarasota Kennel Club","Sarasota","FL","https://skcpoker.com",YES,"https://www.pokeratlas.com/poker-room/sarasota-kennel-club/tournaments","no_data"
"Sarasota Poker Room","Sarasota","FL","https://betatjacks.com",NO,"https://www.pokeratlas.com/poker-room/sarasota-poker-room/tournaments","no_data"
"Seminole Casino Coconut Creek","Coconut Creek","FL","https://seminolecoconutcreekcasino.com",YES,"https://www.pokeratlas.com/poker-room/seminole-casino-brighton/tournaments","no_data"
"Seminole Hard Rock Hollywood","Hollywood","FL","https://seminolehardrockhollywood.com",YES,"https://www.pokeratlas.com/poker-room/seminole-hard-rock-hotel-casino-hollywood/tournaments","no_data"
"Seminole Hard Rock Tampa","Tampa","FL","https://seminolehardrocktampa.com",YES,"https://www.pokeratlas.com/poker-room/seminole-hard-rock-hotel-casino-tampa/tournaments","no_data"
"Silks Poker Room","Tampa","FL","https://tampabaydowns.com/poker",NO,"https://www.pokeratlas.com/poker-room/silks-poker-room/tournaments","no_data"
"Tampa Bay Downs","Tampa","FL","https://tampabaydowns.com",YES,"https://www.pokeratlas.com/poker-room/tampa-bay-downs/tournaments","no_data"
"TGT Poker & Racebook","Tampa","FL","https://tgtpoker.com",NO,"https://www.pokeratlas.com/poker-room/tgt-poker-and-racebook/tournaments","no_data"
